,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16990,Montenegro,Israel,1,3,05 Jun 2021,Friendly International
0,16989,Sweden,Armenia,3,1,05 Jun 2021,Friendly International
0,16988,Wales,Albania,0,0,05 Jun 2021,Friendly International
0,16987,Russia,Bulgaria,1,0,05 Jun 2021,Friendly International
0,16986,Slovenia,Gibraltar,6,0,04 Jun 2021,Friendly International
0,16985,Faroe Islands,Iceland,0,1,04 Jun 2021,Friendly International
0,16984,Italy,Czech Republic,4,0,04 Jun 2021,Friendly International
0,16983,Hungary,Cyprus,1,0,04 Jun 2021,Friendly International
0,16982,Spain,Portugal,0,0,04 Jun 2021,Friendly International
0,16981,Latvia,Lithuania,3,1,04 Jun 2021,Baltic Cup 2021
0,16980,North Macedonia,Kazakhstan,4,0,04 Jun 2021,Friendly International
0,16979,Finland,Estonia,0,1,04 Jun 2021,Friendly International
0,16978,Malta,Kosovo,1,2,04 Jun 2021,Friendly International
0,16977,Belgium,Greece,1,1,03 Jun 2021,Friendly International
0,16976,Ukraine,Northern Ireland,1,0,03 Jun 2021,Friendly International
0,16975,Turkey,Moldova,2,0,03 Jun 2021,Friendly International
0,16974,Andorra,Rep. of Ireland,1,4,03 Jun 2021,Friendly International
0,16973,Switzerland,Liechtenstein,7,0,03 Jun 2021,Friendly International
0,16972,France,Wales,3,0,02 Jun 2021,Friendly International
0,16971,Germany,Denmark,1,1,02 Jun 2021,Friendly International
0,16970,England,Austria,1,0,02 Jun 2021,Friendly International
0,16969,Netherlands,Scotland,2,2,02 Jun 2021,Friendly International
0,16968,Romania,Georgia,1,2,02 Jun 2021,Friendly International
0,16967,Norway,Luxembourg,1,0,02 Jun 2021,Friendly International
0,16966,Belarus,Azerbaijan,1,2,02 Jun 2021,Friendly International
0,16965,Bosnia & Herzegovina,Montenegro,0,0,02 Jun 2021,Friendly International
0,16964,Poland,Russia,1,1,01 Jun 2021,Friendly International
0,16963,Lithuania,Estonia,0,1,01 Jun 2021,Baltic Cup 2021
0,16962,Croatia,Armenia,1,1,01 Jun 2021,Friendly International
0,16961,Bulgaria,Slovakia,1,1,01 Jun 2021,Friendly International
0,16960,North Macedonia,Slovenia,1,1,01 Jun 2021,Friendly International
0,16959,Kosovo,San Marino,4,1,01 Jun 2021,Friendly International
0,16958,Turkey,Guinea,0,0,31 May 2021,Friendly International
0,16957,Switzerland,United States,2,1,30 May 2021,Friendly International
0,16956,Malta,Northern Ireland,0,3,30 May 2021,Friendly International
0,16955,Mexico,Iceland,2,1,29 May 2021,Friendly International
0,16954,Sweden,Finland,2,0,29 May 2021,Friendly International
0,16953,Italy,San Marino,7,0,28 May 2021,Friendly International
0,16952,Turkey,Azerbaijan,2,1,27 May 2021,Friendly International
0,16951,Ukraine,Bahrain,1,1,23 May 2021,Friendly International
0,16950,Greece,Georgia,1,1,31 Mar 2021,"2022 FIFA World Cup Qualification, Group B"
0,16949,Spain,Kosovo,3,1,31 Mar 2021,"2022 FIFA World Cup Qualification, Group B"
0,16948,Northern Ireland,Bulgaria,0,0,31 Mar 2021,"2022 FIFA World Cup Qualification, Group C"
0,16947,Scotland,Faroe Islands,4,0,31 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16946,Austria,Denmark,0,4,31 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16945,England,Poland,2,1,31 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16944,Germany,North Macedonia,1,2,31 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
